,model,option,year,odometer,fuel,price,car
223,그랜저 IG,3.0 익스클루시브 스페셜,17/07식(18년형),63600,가솔린,2680,grandure
224,그랜저 IG,2.4 스페셜,18/03식,87841,가솔린,2300,grandure
225,그랜저 HG,LPG HG300 장애인용,14/03식,103973,LPG(일반인 구입),1190,grandure
226,더 뉴 그랜저 IG,3.0 LPi 프리미엄 초이스,20/05식,39000,LPG(일반인 구입),3180,grandure
227,더 뉴 그랜저 IG,2.5 프리미엄,20/04식,23967,가솔린,3290,grandure
228,그랜저 HG,HG220 디젤 프리미엄,15/02식,195032,디젤,810,grandure
229,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/09식(22년형),5236,가솔린+전기,4699,grandure
230,그랜저 IG,2.4 익스클루시브 스페셜,19/02식,57461,가솔린,2830,grandure
231,그랜저 IG,3.0 LPi 모던 (렌터카),18/12식(19년형),133068,LPG(일반인 구입),1690,grandure
232,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/03식,19894,가솔린,3140,grandure
233,그랜저 IG 하이브리드,익스클루시브,18/04식,88859,가솔린+전기,2470,grandure
234,그랜저 HG,HG220 디젤 프리미엄,15/02식,188093,디젤,830,grandure
235,그랜저 IG,2.4 프리미엄,18/08식(19년형),67521,가솔린,2220,grandure
236,그랜저 IG,2.2 디젤 프리미엄 스페셜,17/07식(18년형),93000,디젤,2570,grandure
237,그랜저 HG,HG300 로얄,11/05식,167926,가솔린,890,grandure
238,그랜저 HG,HG300 프리미엄,13/03식,170603,가솔린,770,grandure
239,그랜저 IG,2.4 프리미엄 스페셜,17/11식(18년형),13859,가솔린,2654,grandure
240,그랜저 뉴 럭셔리,LPI Q270 모범형,09/11식(10년형),169946,LPG(일반인 구입),420,grandure
241,그랜저 IG,3.0 익스클루시브 스페셜,16/12식(17년형),128330,가솔린,1599,grandure
242,그랜저 IG 하이브리드,익스클루시브 스페셜,17/05식(18년형),73000,가솔린+전기,2950,grandure
243,그랜저 IG,3.0 LPi 모던 (렌터카),19/01식,74788,LPG(일반인 구입),1990,grandure
244,그랜저 HG,HG300 노블,12/06식,57392,가솔린,1150,grandure
245,그랜저 IG 하이브리드,익스클루시브 스페셜,17/10식(18년형),40360,가솔린+전기,3070,grandure
246,그랜저 HG,HG220 디젤 프리미엄,14/11식(15년형),107199,디젤,1470,grandure
247,그랜저 IG,2.4 모던,18/11식(19년형),151970,가솔린,1520,grandure
248,그랜저 HG 하이브리드,프리미엄,14/01식,281630,가솔린+전기,790,grandure
249,더 뉴 그랜저 IG,3.3 캘리그래피,20/03식,40879,가솔린,3730,grandure
251,그랜저 HG,HG220 디젤 프리미엄,14/11식(15년형),107199,디젤,1470,grandure
252,그랜저 IG,2.4 모던,18/11식(19년형),151970,가솔린,1520,grandure
253,그랜저 HG 하이브리드,프리미엄,14/01식,281630,가솔린+전기,790,grandure
255,더 뉴 그랜저 IG,3.3 캘리그래피,20/03식,40879,가솔린,3730,grandure
256,더 뉴 그랜저 IG,3.3 캘리그래피,21/02식,21061,가솔린,3960,grandure
257,더 뉴 그랜저 IG,2.5 캘리그래피,20/04식,15889,가솔린,3690,grandure
258,그랜저 HG,HG300 익스클루시브,14/05식,47705,가솔린,1385,grandure
259,그랜저 IG,2.4 익스클루시브 스페셜,18/11식(19년형),56579,가솔린,2499,grandure
260,그랜저 HG,HG300 익스클루시브,15/01식,142305,가솔린,1145,grandure
261,그랜저 IG,2.2 디젤 프리미엄 스페셜,17/03식,132552,디젤,1830,grandure
262,그랜저 IG,2.4 프리미엄,18/06식(19년형),76000,가솔린,2120,grandure
263,그랜저 HG,LPG HG300 택시형,13/01식,349300,LPG(일반인 구입),459,grandure
264,더 뉴 그랜저 IG,2.5 익스클루시브,20/01식,31260,가솔린,3590,grandure
265,그랜저 HG,LPG HG300 택시형,11/04식,447555,LPG(일반인 구입),409,grandure
266,그랜저 IG,2.2 디젤 프리미엄 스페셜,17/03식(18년형),99525,디젤,2470,grandure
267,그랜저 HG,LPG HG300 모던,13/12식(14년형),277300,LPG(일반인 구입),579,grandure
268,그랜저 TG,LPI Q270 장애인용,06/02식,236600,LPG(일반인 구입),239,grandure
269,그랜저 HG,LPG HG300 이그제큐티브,11/05식,313400,LPG(일반인 구입),609,grandure
270,그랜저 HG,HG240 모던,14/01식,222500,가솔린,678,grandure
271,그랜저 IG,3.0 모던 베이직 (렌터카),18/06식(19년형),11369,가솔린,2390,grandure
